decil_probabilidad;marca_bueno_evidente;clientes;respuesta;tasa_buenos;distribucion;lift;saldo_total;sum_pagos_3m_total;sum_pagos_1m_total;sum_pagos_2m_total; sum_pagos_3m_acum ; sum_pagos_1m_acum ; sum_pagos_2m_acum ;tasa_recu_3m_acum;tasa_recu_1m_acum;tasa_recu_2m_acum;buenos_acumulados;psi;ks;roc;fecha;segmento
0;1;1;1;1;3,80E-05;28,37715517;9280423;161115;32223;64446;18494796;1735427;6002433;0,001111375;0,000104284;0,000360693;0,988146552;4,515200823;0,346053793;0,718736682;202503;5_Bajo_p1
1;0;2628;17;0,006468798;0,099794942;0,183566072;16915325703;25335613;911745;7669120; 43.830.409 ; 2.647.172 ; 13.671.553 ;0,00130616;7,89E-05;0,000407417;0,987068966;4,515200823;0,346053793;0,718736682;202503;5_Bajo_p1
1;1;5;3;0,6;0,000189869;17,0262931;63243668;2700190;951124;2182935;46530599;3598296;15854488;0,001384018;0,000107029;0,00047158;0,96875;4,515200823;0,346053793;0,718736682;202503;5_Bajo_p1
2;0;2622;20;0,007627765;0,0995671;0,216454273;18201984109;31708594;3949452;12726083; 78.239.193 ; 7.547.748 ; 28.580.571 ;0,00150977;0,000145648;0,000551515;0,965517241;4,515200823;0,346053793;0,718736682;202503;5_Bajo_p1
2;1;11;11;1;0,000417711;28,37715517;79412909;3362516;1927238;2753708;81601709;9474986;31334279;0,001572247;0,000182558;0,000603728;0,943965517;4,515200823;0,346053793;0,718736682;202503;5_Bajo_p1
3;0;2613;25;0,009567547;0,099225336;0,271499762;20496567892;38600819;11786567;27193802; 120.202.528 ; 21.261.553 ; 58.528.081 ;0,001660304;0,000293676;0,000808422;0,932112069;4,515200823;0,346053793;0,718736682;202503;5_Bajo_p1
3;1;20;19;0,95;0,000759474;26,95829741;292334764;16204467;3081237;12437265;136406995;24342790;70965346;0,001876552;0,000334884;0,000976271;0,905172414;4,515200823;0,346053793;0,718736682;202503;5_Bajo_p1
4;0;2611;30;0,011489851;0,099149389;0,326049274;23768461087;41788696;8916334;29038025; 178.195.691 ; 33.259.124 ; 100.003.371 ;0,001847378;0,000344802;0,001036748;0,884698276;4,515200823;0,346053793;0,718736682;202503;5_Bajo_p1
4;1;23;20;0,869565217;0,000873396;24,67578711;253485345;22999417;16462056;20137623;201195108;49721180;120140994;0,002080349;0,000514115;0,001242253;0,85237069;4,515200823;0,346053793;0,718736682;202503;5_Bajo_p1
5;0;2589;49;0,018926226;0,098313967;0,537072462;28126634305;99171124;21758544;77498776; 300.366.232 ; 71.479.724 ; 197.639.770 ;0,002406032;0,000572576;0,00158316;0,830818966;4,515200823;0,346053793;0,718736682;202503;5_Bajo_p1
5;1;45;41;0,911111111;0,001708817;25,85474138;522024624;24793543;6006831;15568139;325159775;77486555;213207909;0,002593791;0,000618108;0,001700754;0,778017241;4,515200823;0,346053793;0,718736682;202503;5_Bajo_p1
6;0;2551;48;0,018816151;0,096870965;0,533948823;35567365022;86885661;21349059;46058639; 412.045.436 ; 98.835.614 ; 259.266.548 ;0,00256043;0,00061416;0,00161107;0,733836207;4,515200823;0,346053793;0,718736682;202503;5_Bajo_p1
6;1;81;72;0,888888889;0,003075871;25,22413793;1109915789;53251957;16602991;38466444;465297393;115438605;297732992;0,00287153;0,000712416;0,001837426;0,682112069;4,515200823;0,346053793;0,718736682;202503;5_Bajo_p1
7;0;2538;63;0,024822695;0,096377307;0,704397469;47068363516;279554049;81751638;141073400; 744.851.442 ; 197.190.243 ; 438.806.392 ;0,003562068;0,000943014;0,002098483;0,604525862;4,515200823;0,346053793;0,718736682;202503;5_Bajo_p1
7;1;96;86;0,895833333;0,003645477;25,42120151;1922265246;105617864;33184757;69938401;850469306;230375000;508744793;0,004030111;0,001091676;0,002410784;0,536637931;4,515200823;0,346053793;0,718736682;202503;5_Bajo_p1
8;0;2495;85;0,034068136;0,094744437;0,966756789;75039802383;236275782;44424387;123852496; 1.086.745.088 ; 274.799.387 ; 632.597.289 ;0,003798897;0,000960607;0,002211349;0,443965517;4,515200823;0,346053793;0,718736682;202503;5_Bajo_p1
8;1;139;125;0,899280576;0,005278347;25,51902444;3093144876;175014294;54127607;133157888;1261759382;328926994;765755177;0,004363508;0,001137519;0,00264819;0,35237069;4,515200823;0,346053793;0,718736682;202503;5_Bajo_p1
9;0;2478;68;0,027441485;0,094098884;0,77871128;1,05534E+11;268026434;51514979;156108570; 1.529.785.816 ; 380.441.973 ; 921.863.747 ;0,003875858;0,000963886;0,00233563;0,217672414;4,515200823;0,346053793;0,718736682;202503;5_Bajo_p1
9;1;155;134;0,864516129;0,005885927;24,53250834;5161159294;255533169;82671133;159858057;1785318985;463113106;1081721804;0,004464892;0,001158196;0,00270527;0,144396552;4,515200823;0,346053793;0,718736682;202503;5_Bajo_p1
0;0;14551;138;0,009483884;0,099308641;0,212380739;1,98803E+11;830789477;251573087;578309596; 830.789.477 ; 251.573.087 ; 578.309.596 ;0,004178951;0,001265437;0,002908953;1;4,234139099;0,264410512;0,682543648;202503;3_Medio_p1
0;1;99;61;0,616161616;0,000675662;13,79823452;3676083975;132255354;58266099;96914551;963044831;309839186;675224147;0,00475626;0,001530226;0,003334779;0,978908757;4,234139099;0,264410512;0,682543648;202503;3_Medio_p1
1;0;14517;212;0,014603568;0,099076595;0,327030204;2,1257E+11;907839231;273244109;613642374; 1.870.884.062 ; 583.083.295 ; 1.288.866.521 ;0,004507622;0,001404854;0,003105336;0,969585817;4,234139099;0,264410512;0,682543648;202503;3_Medio_p1
1;1;133;63;0,473684211;0,000907707;10,60761601;4858574408;137841300;51224150;93594202;2008725362;634307445;1382460723;0,004783732;0,001510588;0,003292298;0,937184778;4,234139099;0,264410512;0,682543648;202503;3_Medio_p1
2;0;14488;286;0,019740475;0,098878674;0,442065352;2,17434E+11;1299282575;409949296;862458165; 3.308.007.937 ; 1.044.256.741 ; 2.244.918.888 ;0,005190321;0,001638457;0,003522316;0,927556167;4,234139099;0,264410512;0,682543648;202503;3_Medio_p1
2;1;161;114;0,708074534;0,001098804;15,85651918;5670038201;243053857;111870077;179511094;3551061794;1156126818;2424429982;0,005522546;0,001797987;0,003770429;0,883845331;4,234139099;0,264410512;0,682543648;202503;3_Medio_p1
3;0;14472;311;0,021489773;0,098769476;0,481238891;2,02138E+11;1378835539;301384220;792273697; 4.929.897.333 ; 1.457.511.038 ; 3.216.703.679 ;0,005833168;0,001724561;0,003806078;0,866422131;4,234139099;0,264410512;0,682543648;202503;3_Medio_p1
